"POS","RIDER","COUNTRY","POINTS","STAGE"
10,"Geraint Thomas","GBR",32,18
11,"Alexey Lutsenko","KAZ",29,18
12,"Thomas Pidcock","GBR",28,18
13,"Anthony Perez","FRA",26,18
14,"Bob Jungels","LUX",18,18
15,"David Gaudu","FRA",18,18
16,"Brandon McNulty","USA",18,18
17,"Daniel Martinez","COL",18,18
18,"Hugo Houle","CAN",16,18
19,"Valentin Madouas","FRA",15,18
20,"Romain Bardet","FRA",13,18
21,"Carlos Verona","ESP",13,18
22,"Matteo Jorgenson","USA",12,18
23,"Nairo Quintana","COL",11,18
24,"Dylan Teuns","BEL",9,18
25,"Michael Woods","CAN",9,18
26,"Michael Matthews","AUS",8,18
27,"Sebastian Schönberger","AUT",8,18
28,"Tiesj Benoot","BEL",8,18
29,"Kobe Goossens","BEL",8,18
30,"Nelson Oliveira","POR",8,18
31,"Mads Pedersen","DEN",7,18
32,"Quinn Simmons","USA",7,18
33,"Ion Izagirre","ESP",7,18
34,"Luis Leon Sanchez","ESP",6,18
35,"Adam Yates","GBR",6,18
36,"Jonathan Castroviejo","ESP",5,18
37,"Stefan Küng","SWI",5,18
38,"Filippo Ganna","ITA",4,18
39,"Enric Mas","ESP",4,18
40,"Pierre Rolland","FRA",3,18
41,"Mattia Cattaneo","ITA",3,18
42,"Alexis Gougeard","FRA",3,18
43,"Sepp Kuss","USA",3,18
44,"Nicholas Schultz","AUS",3,18
45,"Alberto Bettiol","ITA",3,18
46,"Benjamin Thomas","FRA",2,18
47,"Nils Politt","GER",2,18
48,"Stefan Bissegger","SWI",2,18
49,"Frederik Frison","BEL",2,18
50,"Matis Louvel","FRA",2,18
51,"Patrick Konrad","AUT",1,18
52,"Chris Hamilton","AUS",1,18
53,"Michael Storer","AUS",1,18
54,"Dylan Van Baarle","NED",1,18
55,"Pierre-Luc Perichon","FRA",1,18
56,"Mikkel Honore","DEN",1,18
57,"Christopher Juul Jensen","DEN",1,18
1,"Jonas Vingegaard","DEN",72,19
2,"Simon Geschke","GER",64,19
3,"Giulio Ciccone","ITA",61,19
4,"Tadej Pogacar","SLO",61,19
5,"Wout Van Aert","BEL",59,19
6,"Thibaut Pinot","FRA",52,19
7,"Louis Meintjes","RSA",39,19
8,"Neilson Powless","USA",37,19
9,"Pierre-Roger Latour","FRA",35,19
10,"Geraint Thomas","GBR",32,19
11,"Alexey Lutsenko","KAZ",29,19
12,"Thomas Pidcock","GBR",28,19
13,"Anthony Perez","FRA",26,19
14,"Bob Jungels","LUX",18,19
15,"David Gaudu","FRA",18,19
16,"Brandon McNulty","USA",18,19
17,"Daniel Martinez","COL",18,19
18,"Hugo Houle","CAN",16,19
19,"Valentin Madouas","FRA",15,19
20,"Romain Bardet","FRA",13,19
21,"Carlos Verona","ESP",13,19
22,"Matteo Jorgenson","USA",12,19
23,"Nairo Quintana","COL",11,19
24,"Dylan Teuns","BEL",9,19
25,"Michael Woods","CAN",9,19
26,"Michael Matthews","AUS",8,19
27,"Quinn Simmons","USA",8,19
28,"Sebastian Schönberger","AUT",8,19
29,"Tiesj Benoot","BEL",8,19
30,"Kobe Goossens","BEL",8,19
31,"Nelson Oliveira","POR",8,19
32,"Mads Pedersen","DEN",7,19
33,"Ion Izagirre","ESP",7,19
34,"Luis Leon Sanchez","ESP",6,19
35,"Adam Yates","GBR",6,19
36,"Jonathan Castroviejo","ESP",5,19
37,"Stefan Küng","SWI",5,19
38,"Filippo Ganna","ITA",4,19
39,"Pierre Rolland","FRA",3,19
40,"Mattia Cattaneo","ITA",3,19
41,"Alexis Gougeard","FRA",3,19
