"POS","RIDER","COUNTRY","POINTS","STAGE"
50,"Steven Kruijswijk","NED",20,12
51,"Dylan Van Baarle","NED",20,12
52,"Brent Van Moer","BEL",20,12
53,"Alexander Vlasov","RUS",18,12
54,"Louis Meintjes","RSA",18,12
55,"Nelson Oliveira","POR",18,12
56,"Andreas Lorentz Kron","DEN",18,12
57,"Alexis Gougeard","FRA",18,12
58,"Thibaut Pinot","FRA",17,12
59,"Jakob Fuglsang","DEN",17,12
60,"Jonathan Castroviejo","ESP",17,12
61,"Frederik Frison","BEL",17,12
62,"Patrick Konrad","AUT",16,12
63,"Daniel Martinez","COL",16,12
64,"Giulio Ciccone","ITA",16,12
65,"Carlos Verona","ESP",15,12
66,"Georg Zimmermann","GER",15,12
67,"Mattia Cattaneo","ITA",15,12
68,"Matis Louvel","FRA",15,12
69,"Stan Dewulf","BEL",15,12
70,"Jack Bauer","NZL",15,12
71,"Cyril Barthe","FRA",15,12
72,"Sepp Kuss","USA",14,12
73,"Sebastian Schönberger","AUT",13,12
74,"Hugo Houle","CAN",13,12
75,"Imanol Erviti","ESP",13,12
76,"Filippo Ganna","ITA",13,12
77,"Maximilian Walscheid","GER",12,12
78,"Mikkel Bjerg","DEN",12,12
79,"Andreas Leknessund","NOR",11,12
80,"Maximilian Schachmann","GER",11,12
81,"Jan Tratnik","SLO",11,12
82,"Benoit Cosnefroy","FRA",11,12
83,"Tiesj Benoot","BEL",10,12
84,"Marc Soler","ESP",10,12
85,"Silvan Dillier","SWI",9,12
86,"Alexey Lutsenko","KAZ",8,12
87,"Guy Niv","ISR",8,12
88,"Adrien Petit","FRA",8,12
89,"Reinardt Janse Van Rensburg","RSA",8,12
90,"Bauke Mollema","NED",7,12
91,"Stefan Küng","SWI",7,12
92,"Nathan van Hooydonck","BEL",7,12
93,"Warren Barguil","FRA",6,12
94,"Ion Izagirre","ESP",6,12
95,"Rigoberto Uran","COL",6,12
96,"Andrea Pasqualon","ITA",6,12
97,"Jonas Rutsch","GER",6,12
98,"Florian Vermeersch","BEL",6,12
99,"Christopher Juul Jensen","DEN",6,12
100,"Damiano Caruso","ITA",5,12
101,"Simone Velasco","ITA",5,12
102,"Marco Haller","AUT",5,12
103,"Guillaume Van Keirsbulck","BEL",5,12
104,"Pierre-Luc Perichon","FRA",4,12
105,"Tim Wellens","BEL",4,12
106,"Anthony Turgis","FRA",4,12
107,"Rafal Majka","POL",3,12
108,"Kévin Geniets","LUX",3,12
109,"Joseph Lloyd Dombrowski","USA",3,12
110,"Michael Woods","CAN",3,12
111,"Connor Swift","GBR",3,12
112,"Owain Doull","GBR",3,12
113,"Cyril Lemoine","FRA",3,12
114,"Valentin Madouas","FRA",2,12
115,"Alexander Krieger","GER",2,12
116,"Maciej Bodnar","POL",2,12
117,"Brandon McNulty","USA",1,12
118,"Florian Senechal","FRA",1,12
119,"Marc Hirschi","SWI",1,12
1,"Wout Van Aert","BEL",333,13
2,"Tadej Pogacar","SLO",164,13
3,"Fabio Jakobsen","NED",155,13
4,"Mads Pedersen","DEN",132,13
5,"Magnus Cort Nielsen","DEN",129,13
6,"Christophe Laporte","FRA",121,13
7,"Jasper Philipsen","BEL",116,13
8,"Jonas Vingegaard","DEN",96,13
9,"Peter Sagan","SVK",86,13
10,"Fred Wright","GBR",76,13
11,"Simon Clarke","AUS",72,13
12,"Michael Matthews","AUS",68,13
13,"Matteo Jorgenson","USA",63,13
14,"David Gaudu","FRA",61,13
15,"Dylan Groenewegen","NED",60,13
16,"Geraint Thomas","GBR",56,13
17,"Neilson Powless","USA",55,13
18,"Edvald Boasson Hagen","NOR",52,13
19,"Michael Morkov","DEN",51,13
20,"Thomas Pidcock","GBR",50,13
21,"Taco Van Der Hoorn","NED",50,13
22,"Nairo Quintana","COL",48,13
23,"Hugo Houle","CAN",48,13
24,"Filippo Ganna","ITA",44,13
25,"Bob Jungels","LUX",43,13
26,"Primoz Roglic","SLO",43,13
27,"Luis Leon Sanchez","ESP",43,13
28,"Lennard Kämna","GER",43,13
29,"Romain Bardet","FRA",42,13
30,"Benjamin Thomas","FRA",42,13
31,"Adam Yates","GBR",39,13
32,"Danny Van Poppel","NED",38,13
33,"Luca Mozzato","ITA",37,13
34,"Alberto Bettiol","ITA",36,13
35,"Enric Mas","ESP",35,13
36,"Stefan Küng","SWI",35,13
37,"Caleb Ewan","AUS",35,13
38,"Nicholas Schultz","AUS",33,13
39,"Alexander Kristoff","NOR",33,13
40,"Anthony Perez","FRA",30,13
41,"Alberto Dainese","ITA",30,13
42,"Dylan Teuns","BEL",29,13
43,"Simon Geschke","GER",27,13
44,"Nils Politt","GER",27,13
45,"Hugo Hofstetter","FRA",27,13
46,"Kobe Goossens","BEL",25,13
47,"Sven Erik Bystrøm","NOR",24,13
48,"Jérémy Lecroq","FRA",24,13
49,"Brent Van Moer","BEL",23,13
50,"Yves Lampaert","BEL",22,13
51,"Pierre-Roger Latour","FRA",22,13
52,"Chris Froome","GBR",21,13
53,"Jasper Stuyven","BEL",21,13
54,"Steven Kruijswijk","NED",20,13
55,"Dylan Van Baarle","NED",20,13
56,"Frederik Frison","BEL",19,13
57,"Alexander Vlasov","RUS",18,13
58,"Louis Meintjes","RSA",18,13
59,"Nelson Oliveira","POR",18,13
60,"Andreas Lorentz Kron","DEN",18,13
61,"Alexis Gougeard","FRA",18,13
62,"Thibaut Pinot","FRA",17,13
63,"Jakob Fuglsang","DEN",17,13
64,"Jonathan Castroviejo","ESP",17,13
65,"Patrick Konrad","AUT",16,13
66,"Daniel Martinez","COL",16,13
67,"Giulio Ciccone","ITA",16,13
68,"Carlos Verona","ESP",15,13
69,"Georg Zimmermann","GER",15,13
70,"Mattia Cattaneo","ITA",15,13
71,"Matis Louvel","FRA",15,13
72,"Stan Dewulf","BEL",15,13
73,"Cyril Barthe","FRA",15,13
74,"Jack Bauer","NZL",15,13
75,"Sepp Kuss","USA",14,13
76,"Sebastian Schönberger","AUT",13,13
77,"Andrea Pasqualon","ITA",13,13
78,"Imanol Erviti","ESP",13,13
79,"Maximilian Walscheid","GER",12,13
80,"Mikkel Bjerg","DEN",12,13
81,"Andreas Leknessund","NOR",11,13
82,"Maximilian Schachmann","GER",11,13
83,"Jan Tratnik","SLO",11,13
84,"Benoit Cosnefroy","FRA",11,13
85,"Florian Senechal","FRA",11,13
86,"Tiesj Benoot","BEL",10,13
87,"Marc Soler","ESP",10,13
